Parties,Operations,Time
100,1000,340.2936227321625
100,500,199.28043031692505
100,100,62.04066228866577
100,10,28.38418483734131
20,1000,67.58841800689697
20,500,36.8964421749115
20,100,11.401190996170044
20,10,6.8841633796691895
10,1000,36.837104082107544
10,500,24.885124683380127
10,100,9.083481550216675
10,10,5.936959743499756
5,1000,21.254716157913208
5,500,13.756391525268555
5,100,6.709973335266113
5,10,5.533838748931885
2,1000,12.871203660964966
2,500,9.698068857192993
2,100,5.881567001342773
2,10,5.314629316329956
100,1000,324.87423157691956
100,500,187.64505982398987
100,100,60.11112451553345
100,10,29.08135962486267
20,1000,72.62287497520447
20,500,36.68257188796997
20,100,11.685242176055908
20,10,7.446918249130249
10,1000,34.73455595970154
10,500,20.424426794052124
10,100,9.19673776626587
10,10,5.6440980434417725
5,1000,19.19160223007202
5,500,13.431591033935547
5,100,6.640818119049072
5,10,5.510176181793213
2,1000,12.974544763565063
2,500,8.526855707168579
2,100,5.880813837051392
2,10,5.302682638168335
100,1000,340.28735637664795
100,500,190.18346500396729
100,100,64.89637064933777
100,10,31.26288080215454
20,1000,70.83614993095398
20,500,36.80966353416443
20,100,13.321422576904297
20,10,6.381340026855469
10,1000,36.66462540626526
10,500,20.732345819473267
10,100,8.257954835891724
10,10,5.649887323379517
5,1000,20.501439094543457
5,500,12.469818353652954
5,100,6.668830394744873
5,10,6.55439019203186
2,1000,12.305739402770996
2,500,8.809674501419067
2,100,5.907275676727295
2,10,6.3510472774505615
100,1000,284.13719630241394
100,500,153.22985768318176
100,100,48.192596673965454
100,10,24.11007285118103
20,1000,55.10015058517456
20,500,28.475401401519775
20,100,11.231717586517334
20,10,6.139868974685669
10,1000,28.72352957725525
10,500,16.38245677947998
10,100,8.702861309051514
10,10,5.49615740776062
5,1000,16.116391897201538
5,500,11.80819320678711
5,100,6.39056921005249
5,10,5.410482168197632
2,1000,11.261500597000122
2,500,9.1116304397583
2,100,5.793891191482544
2,10,5.115100145339966
100,1000,527.1101803779602
100,500,253.9773609638214
100,100,80.08364057540894
100,10,40.48335027694702
20,1000,88.01858234405518
20,500,48.88285803794861
20,100,14.241218566894531
20,10,6.965619802474976
10,1000,47.12337327003479
10,500,25.275267601013184
10,100,10.434971809387207
10,10,5.828992128372192
5,1000,26.264509439468384
